name,address,category,priority,reason
"El Retiro Park","Plaza de la Independencia, Madrid, Spain",park,must,"Madrid's beautiful royal gardens - stroll to Crystal Palace and rent rowboats on the lake. 10 min walk from Hotel Fénix"
"Museo del Prado","Calle Ruiz de Alarcón 23, Madrid, Spain",museum,must,"World-class Spanish masters - Velázquez and Goya's Black Paintings. No photography allowed. Book tickets online!"
"Cuesta de Moyano Book Market","Cuesta de Moyano, Madrid, Spain",shopping,medium,"Charming outdoor book kiosks right next to the Prado - browse rare books and vintage finds"
"Joselito's Charcutería","Calle Velázquez 30, Madrid, Spain",food,high,"Premium jamón ibérico and charcuterie with wine. 5 min from Hotel Fénix in Salamanca"
"El Rastro Flea Market","Ribera de Curtidores, Madrid, Spain",shopping,must,"Sunday-only flea market 9am-3pm. Bring cash! Explore side streets for best antique finds"
"Living Retro by Judith San Quintín","Ribera de Curtidores 29, Madrid, Spain",shopping,must,"Art Deco & mid-century Italian pieces inside El Rastro market. Stunning 1950s/60s furniture"
"Pum Pum Bakery","Calle de la Esgrima 1, Madrid, Spain",food,medium,"Excellent pastries and coffee for brunch. 3 min walk from El Rastro"
"Royal Palace of Madrid","Calle de Bailén, Madrid, Spain",landmark,high,"Largest royal palace in Western Europe. Book tickets online! Allow 2-2.5 hours"
"Temple of Debod","Calle de Ferraz 1, Madrid, Spain",landmark,high,"Ancient Egyptian temple at sunset - stunning views. Book free entry online!"
"Divorare","Calle Augusto Figueroa 20, Madrid, Spain",food,high,"Focaccia sandwiches in Chueca - viral mortadella with stracciatella and pesto"
"Kohi Matcha Café","Calle Hortaleza 73, Madrid, Spain",food,medium,"Best matcha in Madrid - specialty flavors like Cloud or Mango. Grab a window seat"
"Tiny Big Sister","Calle del Barquillo 40, Madrid, Spain",shopping,medium,"Curated vintage women's clothing. Excellent service and unique pieces"
"Laagam","Calle San Vicente Ferrer, Madrid, Spain",shopping,high,"One of Malasaña's best indie boutiques - carefully curated vintage and contemporary"
"Despacio Concept Store","Calle de Belén 10, Madrid, Spain",shopping,low,"Curated contemporary Spanish fashion & lifestyle - HAY and DOIY items"
"My Pasta Room","Calle Espíritu Santo 16, Madrid, Spain",food,must,"Build-your-own pasta in a stunning art-filled space. Arrive early or book ahead"
"Bluelow","Calle San Lucas 11, Madrid, Spain",shopping,medium,"Sustainable fashion and beautiful phone bag accessories. Opens 4pm Mondays"
"99 Cheesecake","Calle Don Felipe 4, Madrid, Spain",food,high,"Viral cheesecake spot - generous toppings for under €2. Closed Mondays, open from noon Tues-Sun"
"Restaurante Armando","Calle Carranza 9, Madrid, Spain",food,high,"Huge portions, excellent escalope with raclette. No reservations - arrive early to avoid wait"
"Judith San Quintín Antiques","Calle Núñez de Balboa 15, Madrid, Spain",shopping,medium,"Luxury Art Deco antiques & furniture in Salamanca. Exquisite taste and collector pieces"
"Loewe Flagship Store","Calle Serrano, Madrid, Spain",shopping,high,"Iconic Spanish luxury leather goods in stunning architectural space"
"WOW Concept Store","Calle Serrano, Madrid, Spain",shopping,low,"Curated multi-brand fashion & design. 2 min walk from Loewe"
"Thyssen-Bornemisza Museum","Paseo del Prado 8, Madrid, Spain",museum,medium,"700 years of art - photography allowed. Free Mondays 12-4pm"
"Zara Gran Vía Flagship","Gran Vía, Madrid, Spain",shopping,low,"Largest Zara in Spain - Spanish high street fashion at its best"
"Museo Reina Sofía","Calle Santa Isabel 52, Madrid, Spain",museum,high,"Picasso's Guernica, Dalí & Miró. Photography allowed. Open until 9pm - evening visit means fewer crowds"
"Chocolatería San Ginés","Pasadizo de San Ginés 5, Madrid, Spain",food,medium,"Iconic churros con chocolate since 1894. Open 24 hours. Go early morning to avoid crowds"
"La Latina Tapas District","Cava Baja, Madrid, Spain",food,high,"Cobblestone streets with vermouth bars and pintxos. Best first evening in Madrid"
"Tiki Taco","Madrid, Spain",food,low,"Casual Mexican spot for a quick lunch"
"Papizza","Madrid, Spain",food,low,"Quick and casual pizza near Gran Vía"
"Malvón Bakery","Madrid, Spain",food,low,"Quality pastries and coffee for brunch"
"Nudes Smoothies","Salamanca, Madrid, Spain",food,low,"Healthy breakfast bowls and smoothies in Salamanca neighborhood"
"Hotel Fénix Gran Meliá","Calle Hermosilla 2, Madrid, Spain",landmark,must,"Your hotel March 14-17. Salamanca neighborhood - 10 min to Retiro, 15 min to Prado"
"Four Seasons Hotel Madrid","Calle de Sevilla 3, Madrid, Spain",landmark,must,"Your hotel March 18-23. Centro location - 5 min to Gran Vía, close to Reina Sofía"
